Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
P1_dh5a,pass,pass,1.166,75,33,64.32246998,28.30188679
P1_dh5a,pass,pass,1.3308,79,35,59.3627893,26.29996994
P1_dh5a,pass,pass,1.5223,86,39,56.49346384,25.61912895
P1_dh5a,pass,pass,1.476,76,35,51.49051491,23.71273713
P1_dh5a,pass,pass,1.5244,76,38,49.85568092,24.92784046
P1_dh5a,pass,pass,1.5949,73,41,45.77089473,25.70694087
P1_dh5a,pass,pass,1.5241,73,35,47.89711961,22.96437242
P1_dh5a,pass,pass,1.5357,65,35,42.32597513,22.79090968
P1_dh5a,pass,pass,1.5564,70,39,44.97558468,25.05782575
P1_dh5a,pass,pass,1.5286,61,33,39.90579615,21.58838153
P1_dh5a,pass,pass,1.5295,56,34,36.61327231,22.22948676
P1_dh5a,pass,pass,1.5398,64,39,41.56383946,25.32796467
P1_hns,pass,pass,1.3652,64,63,46.87957808,46.14708468
P1_hns,pass,pass,1.3222,68,58,51.42943579,43.86628347
P1_hns,pass,pass,1.4014,70,68,49.95004995,48.52290567
P1_hns,pass,pass,1.398,60,48,42.91845494,34.33476395
P1_hns,pass,pass,1.422,63,54,44.30379747,37.97468354
P1_hns,pass,pass,1.4712,68,90,46.22077216,61.17455139
P1_hns,pass,pass,1.536,73,106,47.52604167,69.01041667
P1_hns,pass,pass,1.5517,73,57,47.04517626,36.73390475
P1_hns,pass,pass,1.5081,62,65,41.11133214,43.10059015
P1_hns,pass,pass,1.2501,60,39,47.99616031,31.1975042
P1_hns,pass,pass,1.2121,60,52,49.50086627,42.90075076
P1_hns,pass,pass,1.2266,54,49,44.02413175,39.94782325
P2_dh5a,pass,pass,1.3479,61,13,45.25558276,9.644632391
P2_dh5a,pass,pass,1.4636,73,14,49.87701558,9.565455042
P2_dh5a,pass,pass,1.4062,64,12,45.51272934,8.533636752
P2_dh5a,pass,pass,1.4376,66,11,45.90984975,7.651641625
P2_dh5a,pass,pass,1.4941,67,13,44.84304933,8.700890168
P2_dh5a,pass,pass,1.3929,71,11,50.97279058,7.897192907
P2_dh5a,pass,pass,1.5206,70,14,46.03446008,9.206892016
P2_dh5a,pass,pass,1.4919,63,14,42.22803137,9.384006971
P2_dh5a,pass,pass,1.4922,49,11,32.83742126,7.371665997
P2_dh5a,pass,pass,1.4619,55,12,37.62227239,8.208495793
P2_dh5a,pass,pass,1.3935,50,10,35.88087549,7.176175099
P2_dh5a,pass,pass,1.3097,45,8,34.35901351,6.108269069
P2_hns,pass,pass,1.4496,56,24,38.63134658,16.55629139
P2_hns,pass,pass,1.4526,50,36,34.42103814,24.78314746
P2_hns,pass,pass,1.3782,54,24,39.18154114,17.41401828
P2_hns,pass,pass,1.3926,54,14,38.77638949,10.05313802
P2_hns,pass,pass,1.4149,53,22,37.45847763,15.54880204
P2_hns,pass,pass,1.4193,59,17,41.56978792,11.9777355
P2_hns,pass,pass,1.4042,55,19,39.16820966,13.53083606
P2_hns,pass,pass,1.4645,55,42,37.55547969,28.67872994
P2_hns,pass,pass,1.3953,51,16,36.55127929,11.46706801
P2_hns,pass,pass,1.3271,51,24,38.42965865,18.08454525
P2_hns,pass,pass,1.3084,49,14,37.450321,10.70009172
P2_hns,pass,pass,1.2367,49,14,39.62157354,11.32044958
P3_dh5a,pass,pass,1.388,64,13,46.10951009,9.365994236
P3_dh5a,pass,pass,1.525,64,13,41.96721311,8.524590164
P3_dh5a,pass,pass,1.4466,61,14,42.16784184,9.677865339
P3_dh5a,pass,pass,1.4807,59,14,39.84601877,9.454987506
P3_dh5a,pass,pass,1.5028,67,14,44.58344424,9.315943572
P3_dh5a,pass,pass,1.4641,62,15,42.34683423,10.24520183
P3_dh5a,pass,pass,1.4342,64,12,44.62418073,8.367033886
P3_dh5a,pass,pass,1.3155,57,16,43.3295325,12.16267579
P3_dh5a,pass,pass,1.2765,60,14,47.00352526,10.96748923
P3_dh5a,pass,pass,1.217,54,13,44.37140509,10.68200493
P3_dh5a,pass,pass,1.1441,51,12,44.57652303,10.48859365
P3_dh5a,pass,pass,1.2322,46,14,37.33160201,11.36179192
P3_hns,pass,pass,1.4744,59,13,40.01627781,8.817145958
P3_hns,pass,pass,1.4977,60,20,40.06142752,13.35380917
P3_hns,pass,pass,1.4503,57,20,39.30221334,13.79025029
P3_hns,pass,pass,1.3396,47,23,35.08510003,17.16930427
P3_hns,pass,pass,1.4585,54,23,37.02434008,15.76962633
P3_hns,pass,pass,1.4511,61,14,42.03707532,9.647853353
P3_hns,pass,pass,1.3174,51,24,38.71261576,18.21770153
P3_hns,pass,pass,1.3427,53,17,39.47270425,12.66105608
P3_hns,pass,pass,1.4293,53,18,37.08108864,12.59357728
P3_hns,pass,pass,1.2428,49,27,39.4271001,21.72513679
P3_hns,pass,pass,1.1728,48,21,40.92769441,17.9058663
P3_hns,pass,pass,1.2106,47,24,38.82372377,19.82488022
P4_dh5a,pass,pass,1.2921,51,2,39.47062921,1.547867812
P4_dh5a,pass,pass,1.2285,50,2,40.7000407,1.628001628
P4_dh5a,pass,pass,1.2382,47,2,37.9583266,1.615247941
P4_dh5a,pass,pass,1.2075,48,2,39.7515528,1.6563147
P4_dh5a,pass,pass,1.211,46,2,37.98513625,1.651527663
P4_dh5a,pass,pass,1.1689,47,2,40.20874326,1.711010352
P4_dh5a,pass,pass,1.1882,44,2,37.0308029,1.683218313
P4_dh5a,pass,pass,1.2009,45,2,37.47189608,1.665417603
P4_dh5a,pass,pass,1.2209,47,3,38.49619133,2.457203702
P4_dh5a,pass,pass,1.3965,53,4,37.95202291,2.864303616
P4_dh5a,pass,pass,1.3868,52,4,37.49639458,2.884338044
P4_dh5a,pass,pass,1.4056,50,3,35.57199772,2.134319863
P4_hns,pass,pass,1.3934,50,6,35.88345055,4.306014066
P4_hns,pass,pass,1.218,50,6,41.05090312,4.926108374
P4_hns,pass,pass,1.3618,50,10,36.71611103,7.343222206
P4_hns,pass,pass,1.3044,51,8,39.09843606,6.13308801
P4_hns,pass,pass,1.3327,50,7,37.51782096,5.252494935
P4_hns,pass,pass,1.2825,51,7,39.76608187,5.458089669
P4_hns,pass,pass,1.2958,48,7,37.04275351,5.40206822
P4_hns,pass,pass,1.1976,47,6,39.24515698,5.01002004
P4_hns,pass,pass,1.2655,46,8,36.34926906,6.321612011
P4_hns,pass,pass,1.2869,42,7,32.6365685,5.439428083
P4_hns,pass,pass,1.3164,47,8,35.70343361,6.077180188
P4_hns,pass,pass,1.1808,42,7,35.56910569,5.928184282
P5_dh5a,pass,pass,1.4336,70,7,48.828125,4.8828125
P5_dh5a,pass,pass,1.2691,54,6,42.54983847,4.72775983
P5_dh5a,pass,pass,1.4553,63,6,43.29004329,4.122861266
P5_dh5a,pass,pass,1.4318,63,7,44.00055874,4.888950971
P5_dh5a,pass,pass,1.3292,55,5,41.37827265,3.76166115
P5_dh5a,pass,pass,1.4696,61,6,41.5078933,4.082743604
P5_dh5a,pass,pass,1.4008,62,6,44.26042262,4.283266705
P5_dh5a,pass,pass,1.3888,60,6,43.20276498,4.320276498
P5_dh5a,pass,pass,1.2571,49,5,38.97860154,3.977408321
P5_dh5a,pass,pass,1.7448,83,8,47.56992205,4.585052728
P5_dh5a,pass,pass,1.2724,47,5,36.93806979,3.929581892
P5_dh5a,pass,pass,1.2953,52,5,40.14514012,3.860109627
P5_hns,pass,pass,1.3525,61,12,45.10166359,8.87245841
P5_hns,pass,pass,1.3237,49,11,37.01745108,8.310040039
P5_hns,pass,pass,1.3162,59,8,44.82601428,6.078103632
P5_hns,pass,pass,1.3471,65,10,48.25180016,7.423353871
P5_hns,pass,pass,1.3837,71,6,51.31170051,4.336200043
P5_hns,pass,pass,1.3464,55,10,40.8496732,7.42721331
P5_hns,pass,pass,1.4168,65,9,45.87803501,6.352343309
P5_hns,pass,pass,1.3233,63,9,47.6082521,6.801178871
P5_hns,pass,pass,1.271,55,7,43.27301338,5.50747443
P5_hns,pass,pass,1.5792,72,7,45.59270517,4.432624113
P5_hns,pass,pass,1.3771,53,10,38.4866749,7.261636773
P5_hns,pass,pass,1.4136,48,10,33.95585739,7.074136955
P6_dh5a,pass,pass,1.4103,64,80,45.38041551,56.72551939
P6_dh5a,pass,pass,1.3702,74,100,54.00671435,72.98204642
P6_dh5a,pass,pass,1.4983,65,111,43.38250017,74.08396182
P6_dh5a,pass,pass,1.4743,70,100,47.48016008,67.82880011
P6_dh5a,pass,pass,1.5797,78,130,49.37646389,82.29410648
P6_dh5a,pass,pass,1.5005,73,117,48.65044985,77.97400866
P6_dh5a,pass,pass,1.5099,79,103,52.32134578,68.21643817
P6_dh5a,pass,pass,1.5719,64,102,40.71505821,64.88962402
P6_dh5a,pass,pass,1.4606,64,100,43.8176092,68.46501438
P6_dh5a,pass,pass,1.6875,80,72,47.40740741,42.66666667
P6_dh5a,pass,pass,1.4899,69,124,46.31183301,83.22706222
P6_dh5a,pass,pass,1.3674,47,86,34.3718005,62.89308176
P6_hns,pass,pass,1.3848,61,135,44.04968226,97.48700173
P6_hns,pass,pass,1.5042,63,190,41.88272836,126.3129903
P6_hns,pass,pass,1.3788,63,136,45.69190601,98.6364955
P6_hns,pass,pass,1.4741,70,150,47.48660199,101.7570043
P6_hns,pass,pass,1.4547,72,159,49.49474118,109.3008868
P6_hns,pass,pass,1.5238,66,162,43.3127707,106.3131645
P6_hns,pass,pass,1.4129,65,146,46.00467124,103.3335693
P6_hns,pass,pass,1.3644,59,137,43.24245089,100.4104368
P6_hns,pass,pass,1.3285,65,120,48.92736169,90.32743696
P6_hns,pass,pass,1.6653,77,147,46.23791509,88.27238335
P6_hns,pass,pass,1.4771,65,152,44.00514522,102.9043396
P6_hns,pass,pass,1.3108,42,132,32.04150137,100.7018615
P7_dh5a,pass,pass,1.2557,70,28,55.74579916,22.29831966
P7_dh5a,pass,pass,1.5291,72,38,47.08652148,24.85121967
P7_dh5a,pass,pass,1.5037,73,32,48.5469176,21.28084059
P7_dh5a,pass,pass,1.4536,77,31,52.97193176,21.32636214
P7_dh5a,pass,pass,1.4308,69,27,48.22476936,18.87056192
P7_dh5a,pass,pass,1.5524,80,37,51.53311002,23.83406339
P7_dh5a,pass,pass,1.4181,68,26,47.95148438,18.33439109
P7_dh5a,pass,pass,1.4455,66,26,45.65894154,17.98685576
P7_dh5a,pass,pass,1.4794,81,33,54.75192646,22.30634041
P7_dh5a,pass,pass,1.6954,93,30,54.85431167,17.69493925
P7_dh5a,pass,pass,1.5311,78,39,50.94376592,25.47188296
P7_dh5a,pass,pass,1.3454,47,29,34.93384867,21.5549279
P7_hns,pass,pass,1.2971,58,44,44.71513376,33.92182561
P7_hns,pass,pass,1.3214,59,42,44.64961405,31.78447102
P7_hns,pass,pass,1.3079,59,39,45.11048245,29.81879349
P7_hns,pass,pass,1.4367,69,46,48.02672792,32.01781861
P7_hns,pass,pass,1.4455,66,51,45.65894154,35.28190937
P7_hns,pass,pass,1.3423,58,54,43.20941667,40.2294569
P7_hns,pass,pass,1.4373,56,51,38.96194253,35.48319766
P7_hns,pass,pass,1.3939,58,42,41.60987158,30.13128632
P7_hns,pass,pass,1.2757,66,30,51.73630164,23.51650074
P7_hns,pass,pass,1.597,75,41,46.96305573,25.67313713
P7_hns,pass,pass,1.1985,55,37,45.8906967,30.87192324
P7_hns,pass,pass,1.2828,39,51,30.40224509,39.75678204
P8_dh5a,pass,pass,1.2083,68,78,56.27741455,64.55350492
P8_dh5a,pass,pass,1.4741,61,95,41.38118174,64.44610271
P8_dh5a,pass,pass,1.4663,66,99,45.01125281,67.51687922
P8_dh5a,pass,pass,1.3767,73,93,53.02535048,67.55284376
P8_dh5a,pass,pass,1.3953,82,103,58.76872357,73.81925034
P8_dh5a,pass,pass,1.4256,62,85,43.49046016,59.62401796
P8_dh5a,pass,pass,1.3865,69,94,49.76559683,67.79661017
P8_dh5a,pass,pass,1.2557,62,72,49.37485068,57.33853627
P8_dh5a,pass,pass,1.2785,63,82,49.27649589,64.13766132
P8_dh5a,pass,pass,1.5013,74,59,49.2906148,39.29927396
P8_dh5a,pass,pass,1.2329,61,55,49.47684322,44.61026847
P8_dh5a,pass,pass,1.2618,52,53,41.21096846,42.00348708
P8_hns,pass,pass,1.2773,79,136,61.84921318,106.4745948
P8_hns,pass,pass,1.3779,80,139,58.0593657,100.8781479
P8_hns,pass,pass,1.3719,75,151,54.66870763,110.0663314
P8_hns,pass,pass,1.4062,87,158,61.86886645,112.3595506
P8_hns,pass,pass,1.3006,84,149,64.58557589,114.5625096
P8_hns,pass,pass,1.2236,74,98,60.47728016,80.09153318
P8_hns,pass,pass,1.3166,81,135,61.52210238,102.5368373
P8_hns,pass,pass,1.2466,72,114,57.75709931,91.44874057
P8_hns,pass,pass,1.2847,77,137,59.93617187,106.6396824
P8_hns,pass,pass,1.634,105,157,64.25948592,96.08323133
P8_hns,pass,pass,1.3078,61,118,46.64321762,90.22786359
P8_hns,pass,pass,1.211,69,120,56.97770438,99.09165979
P9_dh5a,pass,pass,1.3007,127,5,97.63973245,3.844083955
P9_dh5a,pass,pass,1.3116,105,6,80.05489478,4.574565416
P9_dh5a,pass,pass,1.2069,103,5,85.34261331,4.142845306
P9_dh5a,pass,pass,1.2816,90,5,70.2247191,3.901373283
P9_dh5a,pass,pass,1.3784,92,6,66.74405107,4.352872896
P9_dh5a,pass,pass,1.2718,89,5,69.97955653,3.93143576
P9_dh5a,pass,pass,1.3823,102,6,73.79006004,4.340591767
P9_dh5a,pass,pass,1.3742,106,5,77.13578809,3.638480571
P9_dh5a,pass,pass,1.2262,57,3,46.48507584,2.446582939
P9_dh5a,pass,pass,1.4406,81,6,56.22657226,4.164931279
P9_dh5a,pass,pass,1.4709,78,6,53.0287579,4.079135223
P9_dh5a,pass,pass,1.485,79,6,53.1986532,4.04040404
P9_hns,pass,pass,1.4235,93,11,65.33192835,7.727432385
P9_hns,pass,pass,1.4902,85,10,57.03932358,6.710508657
P9_hns,pass,pass,1.4518,82,10,56.48160904,6.888001102
P9_hns,pass,pass,1.5043,99,14,65.81134082,9.306654258
P9_hns,pass,pass,1.4705,80,7,54.4032642,4.760285617
P9_hns,pass,pass,1.4872,86,10,57.8267886,6.724045186
P9_hns,pass,pass,1.4686,102,6,69.45390168,4.085523628
P9_hns,pass,pass,1.3492,122,12,90.42395494,8.894159502
P9_hns,pass,pass,1.3356,77,7,57.65199161,5.241090147
P9_hns,pass,pass,1.3354,83,12,62.15366182,8.986071589
P9_hns,pass,pass,1.1613,80,15,68.88831482,12.91655903
P9_hns,pass,pass,1.3027,70,8,53.73455132,6.141091579
P10_dh5a,pass,pass,1.3858,110,5,79.37653341,3.608024246
P10_dh5a,pass,pass,1.4164,93,6,65.65941824,4.2360915
P10_dh5a,pass,pass,1.4066,85,5,60.42940424,3.554670837
P10_dh5a,pass,pass,1.4565,70,5,48.06041881,3.432887058
P10_dh5a,pass,pass,1.4681,74,6,50.40528574,4.08691506
P10_dh5a,pass,pass,1.4438,80,5,55.40933647,3.46308353
P10_dh5a,pass,pass,1.4755,97,5,65.74042697,3.388681803
P10_dh5a,pass,pass,1.5155,95,5,62.68558232,3.299241175
P10_dh5a,pass,pass,1.4632,64,6,43.7397485,4.100601422
P10_dh5a,pass,pass,1.4587,69,5,47.30239254,3.427709604
P10_dh5a,pass,pass,1.2535,57,3,45.47267651,2.393298763
P10_dh5a,pass,pass,1.4406,57,5,39.56684715,3.470776066
P10_hns,pass,pass,1.4844,117,6,78.81972514,4.042037187
P10_hns,pass,pass,1.5118,82,11,54.23997883,7.276094722
P10_hns,pass,pass,1.4926,79,8,52.92777703,5.359774889
P10_hns,pass,pass,1.4495,74,9,51.05208693,6.209037599
P10_hns,pass,pass,1.5183,80,11,52.69050912,7.244945004
P10_hns,pass,pass,1.4294,60,13,41.97565412,9.094725059
P10_hns,pass,pass,1.5166,98,7,64.61822498,4.615587498
P10_hns,pass,pass,1.5414,76,7,49.30582587,4.541326067
P10_hns,pass,pass,1.4469,63,13,43.5413643,8.984725966
P10_hns,pass,pass,1.3667,58,10,42.43798932,7.31689471
P10_hns,pass,pass,1.2318,57,7,46.27374574,5.682740705
P10_hns,pass,pass,1.4294,62,10,43.37484259,6.995942353
P11_dh5a,pass,pass,1.3665,93,3,68.05708013,2.195389682
P11_dh5a,pass,pass,1.3799,95,2,68.84556852,1.44938039
P11_dh5a,pass,pass,1.416,98,2,69.20903955,1.412429379
P11_dh5a,pass,pass,1.4642,75,2,51.22251059,1.365933616
P11_dh5a,pass,pass,1.4942,80,3,53.54035604,2.007763352
P11_dh5a,pass,pass,1.4201,76,3,53.51735793,2.112527287
P11_dh5a,pass,pass,1.4145,102,2,72.11028632,1.413927183
P11_dh5a,pass,pass,1.4753,84,2,56.93757202,1.355656477
P11_dh5a,pass,pass,1.2806,64,2,49.97657348,1.561767921
P11_dh5a,pass,pass,1.391,73,2,52.48023005,1.437814522
P11_dh5a,pass,pass,1.2961,68,3,52.46508757,2.314636216
P11_dh5a,pass,pass,1.3923,66,3,47.40357682,2.154708037
P11_hns,pass,pass,1.5751,87,7,55.23458828,4.444162275
P11_hns,pass,pass,1.552,90,6,57.98969072,3.865979381
