Hotspot_ID,Parent,Orientation,Coordinate,overlap_10_same,overlap_35_same,overlap_none_same
1.0,P1,GFP,61.0,no,no,yes
2.0,P1,GFP,76.0,no,no,yes
3.0,P1,GFP,84.0,no,no,yes
4.0,P1,GFP,108.0,yes,yes,no
5.0,P1,GFP,124.0,yes,no,no
6.0,P1,RFP,112.0,no,no,yes
7.0,P1,RFP,121.0,no,yes,no
8.0,P1,RFP,126.0,no,yes,no
9.0,P1,RFP,134.0,yes,no,no
10.0,P2,GFP,44.0,no,yes,no
11.0,P2,GFP,69.0,no,no,yes
12.0,P2,GFP,82.0,no,yes,no
13.0,P2,GFP,134.0,no,no,yes
14.0,P3,GFP,116.0,no,yes,no
15.0,P3,GFP,134.0,yes,no,no
16.0,P3,GFP,146.0,no,no,yes
17.0,P3,RFP,68.0,no,no,yes
18.0,P3,RFP,83.0,no,no,yes
19.0,P3,RFP,89.0,yes,no,no
20.0,P3,RFP,94.0,yes,no,no
21.0,P5,GFP,65.0,no,no,yes
22.0,P5,GFP,100.0,yes,yes,no
23.0,P5,GFP,120.0,yes,yes,no
24.0,P6,RFP,76.0,yes,yes,no
25.0,P6,RFP,95.0,yes,no,no
26.0,P6,RFP,98.0,yes,no,no
27.0,P6,RFP,101.0,yes,yes,no
28.0,P8,RFP,110.0,yes,yes,no
29.0,P8,RFP,126.0,yes,no,no
30.0,P8,RFP,131.0,yes,no,no
31.0,P9,GFP,9.0,yes,no,no
32.0,P9,GFP,124.0,no,yes,no
33.0,P9,GFP,140.0,yes,yes,no
34.0,P12,RFP,94.0,yes,yes,no
35.0,P12,RFP,111.0,no,yes,no
36.0,P12,RFP,115.0,no,yes,no
37.0,P12,RFP,121.0,no,no,yes
38.0,P12,RFP,138.0,yes,no,no
39.0,P13,RFP,110.0,no,yes,no
40.0,P13,RFP,117.0,yes,yes,no
41.0,P13,RFP,132.0,no,no,yes
42.0,P13,RFP,136.0,no,no,yes
43.0,P16,RFP,87.0,yes,no,no
44.0,P16,RFP,104.0,no,yes,no
45.0,P16,RFP,119.0,no,no,yes
46.0,P16,RFP,125.0,no,yes,no
47.0,P16,RFP,131.0,no,yes,no
48.0,P19,GFP,21.0,yes,yes,no
49.0,P19,GFP,82.0,no,yes,no
50.0,P19,GFP,92.0,no,yes,no
51.0,P19,GFP,106.0,yes,no,no
52.0,P19,GFP,110.0,yes,no,no
53.0,P20,GFP,15.0,no,no,yes
54.0,P20,GFP,21.0,no,no,yes
55.0,P20,GFP,40.0,no,no,yes
56.0,P20,GFP,50.0,no,yes,no
57.0,P20,GFP,99.0,no,yes,no
58.0,P20,GFP,104.0,no,no,yes
59.0,P20,GFP,125.0,yes,yes,no
60.0,P20,RFP,92.0,no,yes,no
61.0,P20,RFP,99.0,no,yes,no
62.0,P20,RFP,104.0,no,no,yes
63.0,P20,RFP,109.0,no,yes,no
64.0,P20,RFP,123.0,no,no,yes
65.0,P22,GFP,111.0,no,yes,no
66.0,P22,GFP,131.0,no,no,yes
67.0,P22,GFP,135.0,no,no,yes
68.0,P22,GFP,139.0,no,no,yes
