,Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with
0,top,75,GFP,minus10,6,8.09530053958112e-05,"[7, 13]",62576,241,1.0550819908979268,1.0217391304347827
1,top,75,GFP,minus10,6,0.9891050353912774,"[9, 15]",62552,265,1.054878048780488,1.0547945205479452
2,top,75,GFP,minus10,6,3.1507535770876485e-05,"[12, 18]",4155,58662,1.0487012987012987,1.0555555555555556
3,top,75,GFP,minus10,6,0.0030923581681989287,"[13, 19]",62798,19,1.054945054945055,1.0
4,top,75,GFP,minus10,6,0.0673128251910095,"[17, 23]",62213,604,1.055045871559633,1.04646873594242
5,top,75,GFP,minus10,6,0.0021427996085435596,"[24, 30]",62604,213,1.0547945205479452,1.0757575757575757
6,top,75,GFP,minus10,6,0.20434323258978626,"[28, 34]",62803,14,1.054945054945055,1.016795865633075
7,top,75,GFP,minus10,6,5.7282174207455174e-61,"[29, 35]",5543,57274,1.0285714285714285,1.0576923076923077
8,top,75,GFP,minus10,6,0.9093745581906962,"[30, 36]",62597,220,1.054878048780488,1.0525372311086596
9,top,75,GFP,minus10,6,0.0003142202628698599,"[34, 40]",62447,370,1.0551724137931036,1.0301576075974943
10,top,75,GFP,minus10,6,0.0006849912125233952,"[39, 45]",62778,39,1.054945054945055,1.0033112582781456
11,top,75,GFP,minus10,6,8.527453959939422e-12,"[46, 52]",61794,1023,1.0555555555555556,1.03125
12,top,75,GFP,minus10,6,1.1868523314205626e-10,"[49, 55]",62333,484,1.0555555555555556,1.0224859550561798
13,top,75,GFP,minus10,6,1.7472907968205056e-09,"[51, 57]",62509,308,1.0555555555555556,1.026607669616519
14,top,75,GFP,minus10,6,0.43425469753713664,"[61, 67]",62807,10,1.054878048780488,1.0168539325842696
15,top,75,GFP,minus10,6,3.467199383350425e-09,"[63, 69]",62610,207,1.0552486187845305,1.010928961748634
16,top,75,GFP,minus10,6,0.3123084640633458,"[76, 82]",62398,419,1.054956671235741,1.0434782608695652
17,top,75,GFP,minus10,6,0.002322644576095954,"[78, 84]",62554,263,1.055045871559633,1.0300751879699248
18,top,75,GFP,minus10,6,2.453806650125032e-14,"[84, 90]",62008,809,1.0555555555555556,1.0285714285714285
19,top,75,GFP,minus10,6,1.7214424243961257e-10,"[90, 96]",62645,172,1.055299539170507,1.0148717381689516
20,top,75,GFP,minus10,6,2.876358328688563e-16,"[91, 97]",60937,1880,1.0555555555555556,1.0294117647058822
21,top,75,GFP,minus10,6,0.00024178025106189003,"[93, 99]",62581,236,1.0551181102362204,1.027149877149877
22,top,75,GFP,minus10,6,0.041771102974945684,"[98, 104]",62580,237,1.0547945205479452,1.0909090909090908
