Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,fluorescence_change,Hotspot_ID
top,P1,GFP,minus10,6,3.467199383350425e-09,"[63, 69]",62610,207,1.0552486187845305,1.010928961748634,6.546586094933508e-08,True,gain,-0.0443196570358965,1
top,P1,GFP,minus10,6,0.0023226445760959,"[78, 84]",62554,263,1.055045871559633,1.0300751879699248,0.0120470434107703,True,gain,-0.0249706835897081,3
top,P1,GFP,minus10,6,2.453806650125032e-14,"[84, 90]",62008,809,1.0555555555555556,1.0285714285714285,8.74790650513106e-13,True,gain,-0.0269841269841271,3
top,P1,GFP,minus10,6,4.6998062251796566e-14,"[100, 106]",3359,59458,1.037037037037037,1.0555555555555556,1.6188927118895873e-12,True,loss,-0.0185185185185186,4
top,P1,GFP,minus10,6,2.081118972911213e-08,"[101, 107]",62592,225,1.0552236410329576,1.0217391304347827,3.596455770814022e-07,True,gain,-0.0334845105981749,4
top,P1,GFP,minus10,6,0.0054253576666772,"[104, 110]",62801,16,1.054945054945055,1.0,0.0246496305406673,True,gain,-0.0549450549450549,4
top,P1,GFP,minus10,6,0.0039850345642179,"[106, 112]",62664,153,1.055045871559633,1.0277777777777777,0.0191116709392124,True,gain,-0.0272680937818552,4
top,P1,GFP,minus10,6,1.6264086760999312e-17,"[117, 123]",62687,130,1.0545454545454545,1.329710144927536,7.403063777462008e-16,True,gain,0.2751646903820814,5
top,P1,GFP,minus10,6,2.12584132876976e-11,"[120, 126]",4272,58545,1.04,1.0555555555555556,5.529356680647058e-10,True,loss,-0.0155555555555555,5
top,P1,GFP,minus10,6,0.0010402177111793,"[122, 128]",62319,498,1.0545454545454545,1.0727272727272728,0.0062023741422129,True,gain,0.0181818181818183,5
top,P1,GFP,minus35,6,0.0079553301112185,"[63, 69]",62464,353,1.0552147239263805,1.032258064516129,0.0339383036878593,True,gain,-0.0229566594102514,1
top,P1,GFP,minus35,6,8.66361361968089e-14,"[83, 89]",61768,1049,1.0555555555555556,1.0307692307692309,2.8867387080479204e-12,True,gain,-0.0247863247863247,3
top,P1,GFP,minus35,6,3.998826376795623e-16,"[105, 111]",62413,404,1.0555555555555556,1.0127279459409424,1.6440336184600072e-14,True,gain,-0.0428276096146131,4
top,P1,GFP,minus35,6,3.073531911623772e-13,"[106, 112]",62350,467,1.0555555555555556,1.0217391304347827,9.439075714131319e-12,True,gain,-0.0338164251207728,4
top,P1,GFP,minus35,6,8.683687271994105e-11,"[110, 116]",3251,59566,1.0413223140495869,1.0555555555555556,2.1283383515685553e-09,True,loss,-0.0142332415059687,4
top,P1,GFP,minus35,6,8.507223708832206e-07,"[118, 124]",62613,204,1.0552486187845305,1.020204081632653,1.0979702903196603e-05,True,gain,-0.0350445371518775,5
top,P1,GFP,minus35,6,0.0002379423325913,"[119, 125]",62262,555,1.0552147239263805,1.04,0.001750250918901,True,gain,-0.0152147239263804,5
top,P1,RFP,minus10,6,3.073257476339698e-20,"[9, 15]",62552,265,1.0555555555555556,1.25,1.5667466614379781e-18,True,gain,0.1944444444444444,9
top,P1,RFP,minus10,6,1.2322374683514606e-212,"[12, 18]",4155,58662,1.0,1.0612244897959184,2.0939822045519158e-209,True,loss,-0.0612244897959184,9
top,P1,RFP,minus10,6,0.0010352769631292,"[13, 19]",62798,19,1.0555555555555556,1.0,0.0061855640165355,True,gain,-0.0555555555555555,9
top,P1,RFP,minus10,6,3.4648036106721605e-42,"[17, 23]",62213,604,1.0555555555555556,1.0,4.6483075808438615e-40,True,gain,-0.0555555555555555,9
top,P1,RFP,minus10,6,3.877171153435059e-05,"[24, 30]",62604,213,1.0555555555555556,1.0229007633587786,0.0003523318812872,True,gain,-0.032654792196777,8
top,P1,RFP,minus10,6,3.9621812535053927e-10,"[29, 35]",5543,57274,1.0714285714285714,1.0541103603603603,8.744242437389824e-09,True,loss,0.017318211068211,7
