Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,gain_loss,fluorescence_change,Q-value,status
top,P1,GFP,UP,22,1.422135936458705e-05,"[98, 120]",60842,1975,1.0555555555555556,1.0454545454545454,gain,-0.010101010101010166,8.76983827482868e-05,True
top,P2,GFP,UP,22,1.1680568917688293e-13,"[31, 53]",27773,1861,1.0384615384615383,1.0218340611353711,gain,-0.016627477326167206,2.1609052497723343e-12,True
top,P2,GFP,UP,22,0.0001506292341619,"[69, 91]",7628,22006,1.0333333333333334,1.0394736842105263,loss,0.0061403508771928905,0.0007431042218653733,True
top,P2,GFP,UP,22,3.176143893460397e-05,"[70, 92]",29188,446,1.0379746835443038,1.0174195244257525,gain,-0.020555159118551325,0.00016788189151147813,True
top,P4,GFP,UP,22,0.0070582297857994,"[79, 101]",16785,54,1.0026246719160106,1.0,gain,-0.002624671916010568,0.02611545020745778,True
top,P8,GFP,UP,22,0.0008479974371671,"[77, 99]",8923,39,1.0055555555555555,1.0,gain,-0.005555555555555536,0.0036912829617862,True
top,P9,GFP,UP,22,1.0713383035599565e-05,"[22, 44]",1555,6408,1.1333333333333333,1.1567246548713386,loss,0.023391321538005272,7.207184951221525e-05,True
top,P11,GFP,UP,22,7.83231023778419e-08,"[26, 48]",1602,4298,1.0,1.0090916604678073,loss,0.009091660467807294,8.279870822800429e-07,True
top,P12,GFP,UP,22,0.0085975343467133,"[55, 77]",5861,29,1.0,1.0,gain,0.0,0.030296073412227825,True
top,P22,GFP,UP,22,1.7271015539905272e-23,"[90, 112]",2391,171,2.149122807017544,1.3529411764705883,gain,-0.7961816305469558,6.39027574976495e-22,True
bottom,P1,RFP,UP,22,0.0091369153888825,"[36, 58]",62695,122,1.0555555555555556,1.1291666666666669,gain,0.0736111111111113,0.030733260853513862,True
bottom,P2,RFP,UP,22,0.0067576975745091,"[5, 27]",29352,282,1.0,1.0,gain,0.0,0.02611545020745778,True
bottom,P6,RFP,UP,22,1.1748735639864133e-07,"[97, 119]",11035,108,1.818181818181818,1.2727272727272727,gain,-0.5454545454545452,1.0867580466874322e-06,True
bottom,P8,RFP,UP,22,1.9760804895375167e-19,"[126, 148]",8705,257,1.3578947368421053,1.0344827586206895,gain,-0.32341197822141576,4.874331874192541e-18,True
bottom,P12,RFP,UP,22,0.0002953512870769,"[83, 105]",5785,105,3.210526315789474,3.023225806451613,gain,-0.1873005093378608,0.0013659997027306626,True
bottom,P12,RFP,UP,22,2.7649810283583878e-05,"[84, 106]",1209,4681,3.142857142857143,3.214772727272728,loss,0.07191558441558499,0.00015739122776809282,True
bottom,P13,RFP,UP,22,0.0114652326439705,"[19, 41]",5277,48,1.631578947368421,1.3333333333333333,gain,-0.29824561403508776,0.036888139811035524,True
bottom,P16,RFP,UP,22,6.72606436135539e-10,"[69, 91]",92,4120,1.0,1.0930232558139534,loss,0.09302325581395343,8.295479379004981e-09,True
bottom,P16,RFP,UP,22,8.507727216432605e-40,"[70, 92]",936,3276,1.0299253731343283,1.1333333333333333,loss,0.103407960199005,6.295718140160127e-38,True
bottom,P16,RFP,UP,22,5.802263205253372e-10,"[71, 93]",4084,128,1.0869565217391304,1.472470238095238,gain,0.38551371635610754,8.295479379004981e-09,True
bottom,P19,RFP,UP,22,0.0028895674648105,"[69, 91]",813,2643,1.725,1.621580547112462,loss,-0.10341945288753807,0.011879332910887611,True
bottom,P19,RFP,UP,22,9.248861219669214e-07,"[109, 131]",3396,60,1.6363636363636365,2.0,gain,0.36363636363636354,7.604619225061354e-06,True
bottom,P21,RFP,UP,22,9.124708766880043e-06,"[97, 119]",2538,64,1.9412913602941175,2.0,gain,0.05870863970588247,6.752284487491232e-05,True
