Unnamed: 0,Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,gain_loss,fluorescence_change,Q-value,status
146,top,P2,GFP,HNS,12,9.385482467790841e-10,"[40, 52]",3547,26087,1.0461538461538462,1.037037037037037,loss,0.009116809116809232,6.986970281577626e-09,True
156,top,P2,GFP,HNS,12,3.279042857507243e-05,"[72, 84]",3111,26523,1.0408163265306123,1.037037037037037,loss,0.0037792894935753107,9.55199441099936e-05,True
158,top,P2,GFP,HNS,12,0.0006043667374073,"[74, 86]",1571,28063,1.0444444444444445,1.037037037037037,loss,0.007407407407407529,0.0014997248668995964,True
185,top,P2,GFP,HNS,12,5.54131474703184e-07,"[130, 142]",4426,25208,1.039828033744322,1.037037037037037,loss,0.0027909967072849984,2.3800931191991692e-06,True
1509,top,P12,RFP,HNS,12,6.593808027908479e-52,"[40, 52]",619,5271,3.717391304347826,3.185840707964602,loss,0.5315505963832243,4.417851378698681e-50,True
1514,top,P12,RFP,HNS,12,1.3993281542539374e-10,"[48, 60]",557,5333,3.5324675324675323,3.196078431372549,loss,0.3363891010949831,1.1719373291876725e-09,True
1525,top,P12,RFP,HNS,12,6.990398428222613e-07,"[76, 88]",525,5365,3.327552986512524,3.1979166666666665,loss,0.12963631984585744,2.755039380534794e-06,True
1527,top,P12,RFP,HNS,12,1.1940019096848892e-14,"[80, 92]",307,5583,3.5357355568790947,3.197802197802198,loss,0.3379333590768967,1.1428303992698225e-13,True
1530,top,P12,RFP,HNS,12,1.9440041211537155e-16,"[85, 97]",341,5549,3.537823834196891,3.196901114206128,loss,0.34092271999076296,2.604965522345979e-15,True
1538,top,P12,RFP,HNS,12,5.488358128006405e-17,"[98, 110]",673,5217,3.421875,3.1923076923076925,loss,0.2295673076923075,9.19299986441073e-16,True
1546,top,P12,RFP,HNS,12,0.0006936656845725,"[124, 136]",435,5455,3.333333333333333,3.2007332722273145,loss,0.13260006110601852,0.0016598428880841966,True
1550,top,P12,RFP,HNS,12,3.665017547249128e-06,"[136, 148]",436,5454,3.329824561403509,3.2,loss,0.12982456140350873,1.2924009245562715e-05,True
2197,top,P19,GFP,HNS,12,0.0002759609090263,"[13, 25]",208,3248,1.8571428571428568,1.543297345928925,loss,0.3138455112139318,0.000739575236190484,True
2199,top,P19,GFP,HNS,12,0.0126502632282251,"[21, 33]",116,3340,1.8979405868416257,1.55,loss,0.34794058684162565,0.022304411481344256,True
2200,top,P19,GFP,HNS,12,0.0119298592311064,"[23, 35]",138,3318,1.81906982469606,1.546827536045865,loss,0.27224228865019495,0.021602718067138618,True
2205,top,P19,GFP,HNS,12,0.0053455471803563,"[33, 45]",265,3191,1.7,1.5454545454545454,loss,0.15454545454545454,0.010533872384819768,True
2310,top,P20,GFP,HNS,12,9.664328627672131e-15,"[5, 17]",255,2530,3.0,2.611111111111111,loss,0.38888888888888884,1.079183363423388e-13,True
2313,top,P20,GFP,HNS,12,8.995559147636226e-18,"[14, 26]",254,2531,3.030772686433064,2.6,loss,0.4307726864330639,2.0090082096387573e-16,True
2444,top,P22,GFP,HNS,12,0.0130691372933367,"[19, 31]",253,2309,2.289473684210526,2.0517241379310347,loss,0.2377495462794914,0.022452107657783563,True
2445,top,P22,GFP,HNS,12,0.0004134928879814,"[20, 32]",124,2438,2.569601677148847,2.0480030721966203,loss,0.5215986049522265,0.0010655393651828385,True
2447,top,P22,GFP,HNS,12,0.0280144095939062,"[22, 34]",197,2365,2.15,2.057142857142857,loss,0.09285714285714297,0.0457796449461394,True
2448,top,P22,GFP,HNS,12,0.0231928410562467,"[24, 36]",209,2353,2.1875,2.052083333333333,loss,0.13541666666666696,0.038848008769213224,True
2454,top,P22,GFP,HNS,12,0.0098350785189312,"[31, 43]",282,2280,2.262323872582664,2.051282051282051,loss,0.2110418213006131,0.01830417391023307,True
2989,bottom,P2,GFP,HNS,12,0.0035592683326673,"[8, 20]",2709,26925,1.03954802259887,1.0372670807453417,loss,0.00228094185352834,0.00745221807152216,True
4281,bottom,P12,RFP,HNS,12,1.699645510276278e-08,"[12, 24]",414,5476,3.3533616260888994,3.199523322588087,loss,0.1538383035008124,8.759711476039278e-08,True
4282,bottom,P12,RFP,HNS,12,2.1921333536722037e-05,"[14, 26]",326,5564,3.3820981413795783,3.2,loss,0.18209814137957814,6.676042486183529e-05,True
4288,bottom,P12,RFP,HNS,12,1.2846807367326204e-09,"[43, 55]",468,5422,3.3933982683982684,3.1970735290011363,loss,0.19632473939713213,8.607360936108558e-09,True
4289,bottom,P12,RFP,HNS,12,5.68380446375921e-07,"[45, 57]",796,5094,3.29889147952714,3.1986397170383856,loss,0.10025176248875445,2.3800931191991692e-06,True
4290,bottom,P12,RFP,HNS,12,0.0011536624413621,"[46, 58]",714,5176,3.2625313283208017,3.20141678636908,loss,0.06111454195172161,0.0026653580541814038,True
4312,bottom,P12,RFP,HNS,12,5.905683174230412e-05,"[95, 107]",353,5537,3.485134037367993,3.203703703703704,loss,0.28143033366428893,0.00016486698861393234,True
4313,bottom,P12,RFP,HNS,12,2.908959147021906e-09,"[96, 108]",365,5525,3.5114503816793894,3.2,loss,0.3114503816793892,1.6818685479690086e-08,True
4315,bottom,P12,RFP,HNS,12,8.011164452323427e-07,"[100, 112]",352,5538,3.3982447288097744,3.202204846435616,loss,0.19603988237415848,2.981933435031498e-06,True
4324,bottom,P12,RFP,HNS,12,9.78815567775906e-42,"[120, 132]",432,5458,3.696186742694227,3.190885518706072,loss,0.5053012239881549,3.279032152049285e-40,True
